kills,dpm,damageshare,earned gpm,earnedgoldshare,minionkills,cspm,goldat15,csat15,killsat15
8,496.7779,0.164421,348.9873,0.254194,240,9.3901,5456,135,1
10,444.5392,0.223799,387.7825,0.301558,437,9.4367,6234,129,2
2,372.4259,0.154505,310.2572,0.250712,452,10.3549,4860,125,0
5,369.5851,0.173207,332.152,0.269972,363,9.2827,6249,144,3
5,303.9783,0.176277,299.4184,0.26118,359,9.4223,5150,130,1
1,356.9834,0.202578,280.4223,0.263897,345,10.6787,5315,154,0
4,561.448,0.325641,354.9623,0.260962,344,11.463,5643,148,1
8,500.2158,0.23361,355.6835,0.281242,382,9.9281,5318,139,0
4,448.3933,0.229807,309.0887,0.268496,382,10.3837,5029,142,0
1,216.1851,0.154249,230.3136,0.239413,300,9.7481,4931,138,0
4,371.8458,0.192261,321.8098,0.263271,325,10.3342,4971,142,0
13,690.842,0.229927,402.5988,0.308219,273,9.1372,6202,127,2
3,657.3181,0.282805,230.5509,0.249751,213,7.1414,4660,118,0
8,834.6521,0.272665,330.6685,0.260436,293,9.3861,5354,143,1
9,737.7899,0.247814,300.3547,0.293925,278,8.4584,5673,132,2
5,432.7402,0.21251,257.4236,0.265315,242,8.1878,4940,125,1
8,783.0459,0.270537,362.8821,0.266891,235,8.679,5217,137,0
0,338.3565,0.233529,201.2447,0.222261,232,8.5559,4826,128,0
5,358.9486,0.205308,378.4894,0.261149,276,11.0211,6408,152,2
2,547.4724,0.251242,283.8405,0.221688,247,9.6442,4990,133,0
3,437.5215,0.251875,258.9571,0.260795,234,9.1656,5911,138,3
6,431.0788,0.245951,332.1525,0.269996,296,9.5133,5074,140,0
2,396.3071,0.295807,295.153,0.329808,333,10.868,5484,155,0
6,472.7963,0.25891,361.293,0.307944,304,9.9743,5478,151,0
8,535.1052,0.230338,309.4202,0.287453,253,8.5274,4693,120,0
4,380.2446,0.192754,316.776,0.255567,257,9.1051,5089,122,0
1,253.3741,0.223533,258.5436,0.303848,301,10.4391,5291,147,0
2,257.843,0.16584,300.4406,0.217324,315,9.9679,5222,146,0
7,635.4107,0.453386,398.715,0.371906,427,12.6388,5749,157,0
2,236.3245,0.188884,286.8626,0.253513,371,9.8593,4940,128,0
4,334.3709,0.273159,361.5646,0.306656,441,11.6474,5937,146,2
0,140.894,0.105489,207.1854,0.218731,269,9.1722,4954,132,0
5,320.3311,0.238364,380.6623,0.285389,325,11.9536,6005,164,1
8,675.5064,0.258886,353.849,0.248466,254,9.9448,5261,146,0
2,307.8085,0.168982,210.2026,0.23065,215,8.361,4999,136,0
7,679.0875,0.275351,335.9949,0.249888,311,9.4043,5009,132,0
3,386.7681,0.172655,288.7199,0.253942,323,8.7959,5487,133,1
6,579.8667,0.250681,328.2,0.256023,255,9.1,4761,135,0
2,459.7667,0.253991,281.4333,0.276289,261,9.2,6047,148,0
2,642.1326,0.247103,251.6138,0.215426,237,7.7522,5337,134,0
10,937.6945,0.312187,289.5389,0.209727,56,2.1902,4410,22,1
5,341.499,0.216347,329.7923,0.308954,361,9.6049,5754,128,0
2,269.3523,0.185448,303.5438,0.305818,382,9.7271,5957,139,0
9,701.1026,0.322634,343.1942,0.308185,384,9.8987,5819,122,3
1,314.2278,0.16855,245.1317,0.225381,295,8.0746,5329,121,1
6,588.51,0.271704,307.1462,0.293051,277,8.8557,5648,116,3
5,497.6833,0.199966,307.3424,0.238866,301,8.7716,5574,102,3
1,168.4018,0.132713,267.4554,0.255843,323,9.75,5003,123,0
6,544.125,0.309806,341.1161,0.281432,311,9.8571,5755,150,1
6,546.7682,0.208384,358.0069,0.26287,222,10.173,5612,142,1
1,283.2664,0.147172,209.2734,0.248244,211,8.8858,4850,132,0
5,521.3234,0.29814,299.2451,0.28933,319,9.0587,5698,153,1
5,591.3607,0.287659,333.3551,0.249615,322,10.1491,5113,148,0
2,265.5337,0.118454,304.6348,0.226348,312,9.8876,5946,151,1
3,284.6348,0.157062,303.3708,0.267884,364,10.5618,4461,114,0
8,798.5995,0.326758,348.7812,0.3014,353,9.084,5269,135,1
2,539.0235,0.214649,238.1151,0.201883,316,7.6533,5078,142,0
6,684.4306,0.360641,325.4914,0.30361,273,9.0172,5807,129,2
8,544.5554,0.242939,352.7301,0.28037,287,9.6724,5520,136,0
8,411.1633,0.266797,386.0619,0.269612,328,11.7823,5723,156,1
0,232.2199,0.163691,305.7951,0.313191,342,12.1025,5393,146,0
13,574.8223,0.362949,481.1506,0.403014,336,12.0474,6878,144,4
2,393.5364,0.271534,269.4755,0.254763,292,10.6599,5473,150,1
0,266.2321,0.157189,351.8601,0.263885,325,11.5103,6353,163,0
2,252.2417,0.287375,265.5326,0.299922,278,9.4754,5050,133,0
6,491.155,0.242347,329.8703,0.254361,224,9.1538,5709,124,2
1,351.7727,0.220842,216.4299,0.241046,218,8.9685,5163,131,1
2,225.7656,0.218051,214.2232,0.232081,225,7.8744,4746,96,1
4,405.1935,0.252294,350.3085,0.264045,287,10.129,7242,138,3
2,228.4775,0.099683,184.0225,0.160339,230,5.9689,4906,112,1
4,699.9654,0.207538,338.7457,0.259184,346,10.1471,5620,139,2
9,634.5009,0.358714,395.1854,0.289356,262,9.652,6122,141,1
3,593.4969,0.318557,269.3326,0.271763,234,8.899,5594,139,1
1,438.9988,0.27335,224.8778,0.228968,238,9.1502,4813,128,0
5,368.1374,0.186056,236.1932,0.185323,35,1.362,5268,14,2
2,525.2454,0.269232,239.1135,0.254941,256,8.4855,5568,127,2
3,584.3588,0.230426,219.2296,0.157294,70,2.6913,4663,21,1
2,365.1383,0.221625,237.1146,0.22497,189,7.9447,4837,121,0
5,570.1186,0.280961,367.5494,0.267369,223,9.3281,6049,136,1
2,180.1471,0.20303,301.5294,0.332829,354,10.8824,5829,147,1
3,228,0.126747,260.3824,0.212155,249,8.2647,4993,131,0
4,234.7606,0.156278,290.3099,0.270015,272,8.5634,4426,110,0
2,491.9437,0.254863,347.9718,0.281336,355,10.8451,6899,151,2
6,452.0351,0.196064,376.2809,0.293071,393,10.5826,5438,149,0
2,357.6057,0.180149,254.3176,0.228828,310,8.2841,4803,126,0
1,335.9188,0.240822,252.9538,0.289416,280,9.7407,4847,138,0
6,373.8331,0.212362,330.9808,0.249921,221,8.2187,6628,139,2
