kills,assists,dpm,damageshare,damagetakenperminute,earned gpm,cspm,goldat15,csat15,killsat15,assistsat15
5,5,430.7533,0.351897,243.5265,307.4752,8.6672,5187,141,0,2
0,2,396.2583,0.296683,284.7682,232.947,9.404,5113,128,0,1
1,7,463.9073,0.345201,283.9073,321.9536,10.6291,6597,152,0,3
4,6,625.93,0.239886,468.3241,296.5378,8.9503,5337,151,0,0
1,4,386.8877,0.212395,498.5635,205.709,8.6924,5069,144,0,0
5,5,779.0875,0.315898,487.275,403.8783,12.218,6290,172,0,0
2,4,446.3625,0.199258,349.2269,245.9062,8.5678,5313,154,0,0
1,6,516.9333,0.223474,437.4333,266.7333,9.3333,5487,157,0,0
0,6,557.3333,0.307891,479.6333,243.6,9.1333,5945,163,0,2
5,1,573.1988,0.220576,621.7579,299.5677,8.9625,6109,138,2,0
3,14,664.7262,0.221308,465.6196,307.6081,8.6455,5284,133,0,3
2,6,375.8615,0.238117,288.391,217.8086,7.8208,5373,155,0,0
0,1,363.4949,0.250265,267.1039,196.1059,7.6008,5353,150,0,0
3,7,508.9177,0.234194,346.3559,262.4726,8.4637,5509,126,1,2
1,3,443.0563,0.237652,346.745,210.8148,7.4909,4999,139,0,0
4,4,787.8748,0.363747,473.4423,249.6404,8.0149,5194,129,1,1
3,8,708.6782,0.284743,276.0392,288.482,9.5283,5572,141,1,2
5,1,330.3214,0.260317,277.7679,277.9018,9.0804,5654,128,3,0
2,3,248.8393,0.141681,353.25,230.0357,7.4732,4973,131,0,0
6,7,729.0934,0.277872,490.8789,349.6609,8.9689,7656,155,4,2
3,2,673.7439,0.350045,432.3322,245.7716,8.8858,5839,146,2,1
1,5,498.1454,0.284885,456.1789,218.5555,8.3038,5046,121,1,1
2,5,411.8639,0.200345,522.3579,320.6897,9.9254,5550,155,0,1
6,6,844.4944,0.376728,590.6461,402.1629,10.9551,6941,152,2,2
1,5,300.2247,0.165664,419.5787,205.3371,7.7247,4249,112,0,0
2,8,560.5299,0.229348,392.9296,275.246,9.7199,5261,155,0,0
