kills,assists,damagetakenperminute,damagemitigatedperminute,goldat15,csat15,killsat15,assistsat15
1,4,566.2703,570.3063,5758,136,0,3
1,2,911.6376,611.0738,4432,102,1,1
7,7,1090.0671,879.5839,7911,124,6,0
3,3,678.4994,892.8413,5833,151,1,1
1,7,794.2435,966.7159,5046,144,0,1
3,9,476.2998,401.926,5328,138,0,0
3,6,857.0066,1202.8605,5605,132,1,1
4,5,627.386,539.8646,4497,109,0,0
2,10,531.1693,485.7427,5193,113,1,3
3,11,719.6959,707.3311,5358,137,1,2
4,2,879.7635,730.2703,5435,127,1,0
1,2,682.7309,536.1271,5005,130,0,0
5,8,501.9861,288.0536,5035,141,0,0
1,1,824.9843,980.9718,5892,119,1,1
4,7,587.0846,961.7241,5419,131,2,1
8,6,726.8778,862.2293,6442,145,1,3
0,3,628.0811,402.6346,4688,124,0,2
2,4,894.4068,597.9661,5564,115,1,3
1,3,924.6247,968.0266,4566,89,1,1
2,7,903.673,1066.6639,6228,165,0,1
