kills,assists,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,earned gpm,monsterkills,killsat15,assistsat15
6,6,795.0432,0.305945,812.7089,438.6744,246.4265,157,1,1
3,12,295.0144,0.0982193,1194.2651,1621.6427,272.0173,188,0,2
3,5,340.4725,0.215697,508.4969,253.0998,220.2525,216,2,1
0,3,418.0692,0.287839,697.2709,373.0754,202.7047,239,0,0
5,8,554.9574,0.255381,831.5849,476.06,248.3908,235,4,2
8,2,561.743,0.301315,786.3964,371.7957,268.0178,201,5,0
0,8,196.6184,0.090775,1006.4923,753.2088,155.1705,139,0,6
8,5,599.4115,0.24084,1198.2905,1771.4433,299.0752,227,4,2
0,5,109.9821,0.0866738,519.5089,528.2679,182.25,165,0,3
4,7,426.2946,0.242718,458.2768,301.6339,251.6786,160,0,0
4,10,559.1003,0.213084,1041.0934,556.526,291.0727,151,1,5
0,2,186.2284,0.0967554,927.8201,659.1696,147.9446,114,0,2
0,3,187.5769,0.107274,941.7707,521.9385,191.7428,175,0,0
5,4,398.2199,0.193709,912.274,496.9991,273.0475,227,3,0
2,7,397.6124,0.177374,867.2753,432.3876,228.5674,185,0,5
5,4,354.4663,0.195595,871.1798,543.9888,238.1742,181,2,2
2,12,325.5034,0.133184,1041.0295,1705.7986,216.1998,201,0,1
3,7,382.9826,0.15251,593.6639,402.0136,234.0954,174,0,1
4,4,234.0406,0.123321,875.8502,567.5819,230.078,155,3,1
2,14,288.0187,0.128492,932.2621,1102.1217,201.6849,143,1,2
0,9,118.7193,0.0770349,785.3469,969.7332,235.8058,176,0,2
2,1,230.7471,0.162653,930.1921,713.1483,186.5635,140,1,0
0,8,309.9492,0.195705,835.2284,404.5008,169.1371,154,0,1
0,4,174.3824,0.120321,848.1557,425.0761,189.1371,168,0,2
5,2,375.3895,0.221638,805.2146,616.2798,284.5469,191,3,0
0,5,59.5548,0.06785,744.1971,1014.0223,126.8362,116,0,1
2,13,645.2131,0.318363,739.9012,641.1365,301.0377,165,0,7
3,0,173.5886,0.108978,935.7999,504.1631,230.3644,175,1,0
2,2,158.4633,0.153049,516.2759,307.9753,170.9815,142,2,1
2,8,351.6545,0.218958,831.9574,432.2154,251.7779,164,1,4
3,7,568.936,0.248222,1141.4273,676.5311,270.2336,245,0,2
2,6,903.9706,0.268025,886.9464,374.8702,221.6522,216,0,2
1,8,232.5727,0.131485,949.8688,1148.146,240.308,163,0,1
0,5,180.753,0.0970184,728.7279,1114.3639,160.559,130,0,2
2,5,298.1839,0.185669,882.8871,409.6275,199.7322,152,0,0
2,6,427.7532,0.216186,976.4494,509.6508,251.2456,194,2,1
4,3,430.6385,0.220738,861.2454,471.4828,242.6913,200,1,2
8,14,585.0871,0.230714,880.591,472.0844,337.5198,182,6,2
2,7,402.4506,0.244272,613.8735,328.5771,235.336,139,1,3
5,12,510.6324,0.251646,1050,578.6957,302.4506,165,2,4
0,2,97.6765,0.110084,928.2059,812.6176,144.7647,148,0,1
5,5,350.6765,0.194944,639.7059,419.0588,279.6765,204,3,2
1,8,195.4366,0.130101,974.4225,965.2676,233.0704,185,0,3
3,3,345.7465,0.179122,867.4366,504.338,202,176,0,0
7,11,580.3911,0.251737,882.929,571.8196,262.5539,210,1,1
5,5,532.4581,0.268234,734.1261,566.672,279.577,205,1,3
3,1,326.8546,0.234324,568.478,308.354,180.0676,122,0,0
4,8,474.0812,0.269309,838.2751,527.7227,295.5693,216,2,1
6,8,430.9126,0.211931,618.97,404.824,307.1969,172,1,1
0,1,279.8566,0.212157,910.7953,551.6949,170.1434,140,0,1
0,1,132.7491,0.155547,818.7875,376.3505,165.4142,170,0,1
2,4,98.7515,0.0914549,836.2545,918.9796,286.4226,215,0,1
2,14,525.8581,0.243789,1152.6316,1550.5655,205.6162,241,1,0
5,14,349.6437,0.142382,611.7293,618.9866,235.528,228,2,0
3,0,255.1326,0.160349,481.8097,322.6209,238.8456,177,1,0
7,4,427.3947,0.278409,1038.0343,538.8144,291.3573,233,2,0
7,5,410.6173,0.248892,826.2037,387.1605,275.5556,209,2,0
2,0,238.0864,0.201478,813.9815,395.5556,181.9136,165,0,0
1,2,207.253,0.205788,469.0663,250.8254,211.1231,179,0,1
9,6,324.2219,0.20598,593.5589,398.5115,266.1976,202,6,3
4,10,206.7756,0.0862587,952.2866,996.7334,253.941,178,3,1
5,2,330.4742,0.192708,1160.2318,1129.6628,225.49,161,1,0
1,6,204.0195,0.131701,981.1918,662.4052,187.4106,164,0,2
1,6,168.6241,0.0912657,848.0282,775.5796,193.3911,184,0,0
1,3,234.5527,0.109776,777.2896,444.2338,176.2533,179,0,1
1,9,127.8654,0.0600135,780.93,879.7254,157.5465,142,0,2
2,11,261.2367,0.136653,637.8358,638.8593,205.0426,133,2,3
1,6,335.8209,0.258347,875.4691,432.7932,194.3923,175,0,2
5,8,604.6282,0.211021,980.2309,565.5242,279.4365,234,0,1
1,4,165.9492,0.0793891,994.3372,1119.6859,191.0577,185,0,0
4,5,440.6394,0.177448,860.2487,753.8544,234.6714,138,1,0
10,9,668.9165,0.202253,1419.6803,1441.421,305.1865,175,6,0
2,7,297.2449,0.16779,816.4592,369.2755,222.8878,177,1,2
1,1,86.2347,0.107964,822.2143,743.2041,171.0306,181,1,1
4,2,411.6821,0.187926,825.3314,480.8553,188.0185,216,1,0
4,10,148.8239,0.0699497,935.2174,1279.8432,201.062,188,0,0
4,8,532.164,0.217292,702.326,366.8637,252.0972,183,0,0
2,11,370.5243,0.170397,1092.755,970.1525,191.9542,184,2,2
1,5,305.2551,0.178835,794.206,499.2012,180.2887,184,0,1
10,3,745.7555,0.346992,929.307,556.1983,339.4706,256,2,1
1,0,96.9208,0.0787841,692.3762,402,140.2871,149,1,0
4,8,268.099,0.171999,824.198,665.4653,229.4851,169,1,1
4,12,362.3348,0.142824,940.4694,869.8703,272.1309,134,0,3
1,1,260.9389,0.150446,945.9914,726.4114,139.9382,144,0,0
1,8,214.266,0.152303,933.0235,857.064,168.9001,163,1,4
4,5,362.844,0.206175,561.7303,435.0207,247.6484,205,2,0
2,5,328.1392,0.146045,648.6233,448.23,241.5431,197,2,3
2,3,301.2103,0.197528,1049.8638,795.4312,170.4387,169,0,0
3,1,173.9807,0.121822,741.7275,762.8433,176.3948,140,3,1
6,5,508.3584,0.224511,835.1395,477.7468,289.0236,213,1,1
2,15,363.7069,0.118363,1098.5057,1171.6667,211.6667,177,0,2
2,6,475.3161,0.222373,969.8563,498.1322,172.8161,170,0,1
2,4,225.8523,0.162306,926.7955,428.5568,195.7841,170,1,1
3,3,264.4091,0.150028,677.0795,395.1136,228.375,152,2,1
5,13,432.8068,0.253573,907.6201,738.9221,240.9285,116,2,6
4,0,467.3212,0.272354,872.9136,494.3116,183.9061,137,1,0
0,9,415.0693,0.215721,707.0712,452.9384,249.7754,232,0,3
0,0,228.5332,0.149372,903.1247,493.6168,204.4243,219,0,0
8,6,677.2739,0.261402,854.1783,423.1338,330.0764,167,4,2
1,4,331.3758,0.210323,1156.1274,509.8854,210.5732,163,0,3
12,7,463.1753,0.230638,655.268,434.3196,335.2887,184,4,2
1,4,339.3711,0.200215,972.9897,1153.0515,233.7526,210,0,3
2,2,207.1726,0.0998379,829.7917,815.7143,164.1667,167,0,0
2,12,476.8452,0.221733,1160.5655,1109.3155,228.006,173,0,6
2,16,308.7992,0.178645,1146.5611,1071.6607,231.2008,139,1,4
3,2,158.1094,0.112399,675.6055,740.2351,181.9928,146,2,0
1,9,220.5221,0.154326,1029.6708,872.3837,220.2838,160,0,2
2,1,331.3621,0.186858,541.9069,386.9012,217.9001,190,1,1
1,6,248.0715,0.129024,1022.3332,870.2995,161.051,155,0,1
3,11,431.1298,0.192939,963.8466,1055.5018,241.7972,174,1,1
0,4,143.6807,0.0671408,883.4235,964.4967,171.459,165,0,0
6,4,493.1973,0.197741,1048.3636,934.9357,250.6164,178,0,0
1,4,286.6667,0.132968,1235.157,992.1973,160.1495,166,0,1
1,18,381.6741,0.117595,887.5934,1035.6054,236.6816,169,1,4
1,5,211.6667,0.111187,818.0556,696.3889,140.4444,154,0,2
4,10,457.0556,0.229257,898.9167,543.75,301.5833,232,1,1
9,13,596.5726,0.234983,1275.8568,949.6765,379.3255,141,5,4
2,2,317.3847,0.152313,1035.7743,442.9594,194.2464,134,0,1
0,7,299.1421,0.161475,904.3154,533.9428,182.0797,216,0,2
5,8,450.5459,0.151517,1091.3345,1391.0485,244.7314,229,1,0
2,9,213.587,0.0942828,891.9664,998.6561,227.3123,171,1,2
4,4,575.7806,0.320063,898.5474,502.7668,225.3261,209,0,1
1,8,343.6498,0.178123,956.8187,664.5129,209.4451,164,0,0
1,5,204.6732,0.144044,938.0641,794.4266,166.7571,151,1,2
2,6,156.6925,0.0846898,676.033,850.3589,185.6159,141,1,1
1,0,368.9622,0.272313,847.0999,426.6343,183.3172,212,1,0
0,6,300.6038,0.11345,855.3459,507.673,190.7673,224,0,0
2,1,225.7862,0.147797,1087.2453,969.6604,175.8239,189,1,0
2,3,291.2106,0.158245,1024.3642,1006.6022,182.3499,150,1,1
8,3,576.3174,0.203183,981.2411,663.8454,233.3164,157,1,1
6,8,602.1401,0.238776,939.8521,1093.2057,208.4732,162,1,1
4,13,395.833,0.163941,1098.5037,1289.7782,265.0283,197,0,0
7,4,505.012,0.259163,639.3831,461.2048,257.7831,205,1,1
2,5,315.1807,0.184199,1148.2988,1060.3373,187.4024,170,1,0
6,9,215.9949,0.102233,947.832,1076.9453,256.1646,183,2,1
3,5,490.5897,0.212403,929.249,494.4845,223.9627,230,0,0
3,2,242.0352,0.18015,1101.1432,839.6985,192.1734,132,0,2
7,8,501.1809,0.226777,823.5302,483.3166,345.9422,165,3,2
0,11,248.8785,0.103077,940.2804,681.1526,189.2835,159,0,1
3,3,323.271,0.181957,1024.1745,1119.0966,206.729,184,2,1
2,3,385.6739,0.229673,1032.2911,693.8005,193.7466,136,0,1
5,9,450.2022,0.177705,919.0836,711.6307,276.0243,138,2,3
2,7,215.4274,0.192542,744.841,449.493,223.9264,204,1,1
0,0,93.6978,0.146092,631.0437,481.9682,136.4016,168,0,0
2,5,219.8366,0.159646,769.7433,585.8576,218.6464,151,0,3
0,0,189.9067,0.209589,730.8868,397.2462,154.0257,156,0,0
0,5,99.8854,0.0788823,906.3954,783.9198,193.6848,177,0,0
2,5,189.6275,0.108105,823.5645,595.4957,230.6476,151,0,0
5,7,548.4926,0.219631,1335.1709,1361.3585,228.142,204,1,1
7,12,653.8738,0.247207,1395.6179,1585.4514,257.0377,221,1,2
3,9,308.4288,0.151469,1168.7217,920.4128,256.9374,171,0,3
0,1,355.7257,0.234731,820.4261,407.0972,122.3169,120,0,0
2,11,287.9479,0.124034,853.7035,703.776,217.634,176,0,0
2,5,242.1439,0.153175,1034.4568,1255.8281,185.3308,174,2,1
5,12,544.6198,0.218467,1425.8229,1297.6805,247.7093,164,1,2
3,6,637.2185,0.227771,949.461,576.2368,200.9625,154,0,0
5,7,464.0583,0.217789,823.9238,938.7444,262.1973,146,2,1
1,4,261.3901,0.165,1031.7713,927.0404,161.435,134,1,1
1,0,183.571,0.187749,829.8527,459.5993,173.5298,168,1,0
